m/s;V162-5.6;V162-6.2;V172-7.2;V172-7.2SO;EK100;1998_600kw;E-126;Kitepower_Hawk;Kitepower_Falcon;SkySails_PN-14
0;0;0;0;0;0;0;0;-7;-4;0
0.5;0;0;0;0;0;0;0;-7;-4;0
1;0;0;0;0;0;0;0;-6.5;-3;0
1.5;0;0;0;0;0;0;0;-6;-2;0
2;0;0;0;0;0;0;0;-5.5;-0.5;0
2.5;0;0;0;0;0;0;0;-5;1;0
3;27;34;30;30;4;0;10;-4.5;3.5;0
3.5;144;150;124;124;7;0;20;-4;6;0
4;289;292;279;279;10;0;60;-3;11.5;0
4.5;464;467;469;469;15;0;100;-2;17;0
5;669;676;698;698;20;10;250;-0.5;24.5;0
5.5;919;927;976;976;27.5;20;400;1;32;0
6;1220;1229;1310;1310;33;30;600;2.5;44;4
6.5;1574;1584;1701;1701;43;40;800;4;56;8
7;1990;2000;2156;2156;53;55;1000;7;66;12
7.5;2467;2476;2672;2672;63;70;1200;10;76;16
8;3010;3017;3256;3257;73;85;1550;15;83;22.5
8.5;3617;3626;3907;3896;83;100;1900;20;90;29
9;4257;4284;4599;4534;92;150;2350;23.5;93.5;41
9.5;4834;4917;5229;5134;96;200;2800;27;97;53
10;5256;5483;5817;5693;100;240;3250;28.5;98;61
10.5;5482;5882;6358;6157;100;280;3700;30;99;69
11;5578;6114;6789;6506;100;320;4300;30;99.5;73
11.5;5598;6176;7045;6700;100;360;4900;30;100;77
12;5600;6197;7147;6777;98;400;5400;30;100;86.5
12.5;5600;6200;7188;6798;97;440;5900;30;100;96
13;5600;6200;7199;6800;96;485;6200;30;99;101.5
13.5;5600;6200;7200;6800;95;530;6500;30;98;107
14;5600;6200;7200;6800;94;555;6750;30;97;112.5
14.5;5600;6200;7200;6800;93;580;7000;30;96;118
15;5600;6200;7200;6800;93;600;7150;29.5;95;120
15.5;5600;6200;7200;6797;92;620;7300;29;94;122
16;5600;6200;7200;6783;92;620;7440;28.5;93;122.5
16.5;5600;6200;7200;6758;91;620;7580;28;92;123
17;5600;6186;7200;6727;91;620;7580;27.5;91;61.5
17.5;5600;6077;7192;6697;90;620;7580;27;90;0
18;5600;5853;7118;6668;90;620;7580;26.5;89;0
18.5;5568;5590;6951;6640;89;620;7580;26;88;0
19;5418;5348;6782;6611;89;620;7580;25.5;87;0
19.5;5179;5095;6622;6555;88;620;7580;25;86;0
20;4894;4825;6464;6446;88;610;7580;24.5;85;0
20.5;4609;4538;6250;6248;87;600;7580;24;84;0
21;4329;4251;5928;5929;87;595;7580;23.5;83;0
21.5;4043;3954;5516;5515;86;590;7580;23;82;0
22;3764;3664;5050;5048;86;590;7580;22.5;81;0
22.5;3488;3367;4577;4578;85;590;7580;22;80;0
23;3203;3064;4102;4103;85;590;7580;21.5;79;0
23.5;2914;2763;3619;3619;84;590;7580;21;78;0
24;2616;2451;3155;3155;84;585;7580;20.5;77;0
24.5;0;0;2709;2709;83;580;7580;20;76;0
25;0;0;2318;2312;83;290;3790;10;38;0
25.5;0;0;0;0;0;0;0;0;0;0
